"","Feature","logFC","Average.level","T_statistic","P_value","Adjusted.p_value","GeneID","chromosome"
"2897","DRG1",-0.0685303295525153,1.13156332892891,-0.747156857659121,0.460061140025253,0.96556534279626,4733,"22"
"2898","AKR7A3",-0.331165536731467,1.16429627295714,-0.747148379425858,0.46006619047708,0.96556534279626,22977,"1"
"2899","CALD1",-0.0974412846795438,2.75489155075699,-0.746954847726108,0.460181485396536,0.96556534279626,800,"7"
"2900","MED26",0.117851290998445,-0.807744441775563,0.746689202374596,0.460339768916881,0.96556534279626,9441,"19"
"2901","NUMB",0.0878439987313758,0.30617593080915,0.745984852946375,0.460759606094406,0.96556534279626,8650,"14"
"2902","TBCEL",0.0687684656137415,-1.6391413598986,0.745942018169547,0.460785145562106,0.96556534279626,219899,"11"
"2903","HSPA6",0.155349516200642,0.988608154151968,0.745937732783118,0.460787700692409,0.96556534279626,3310,"1"
"2904","CCDC71",-0.122926998944455,0.509165895313012,-0.745934616891466,0.460789558525202,0.96556534279626,64925,"3"
"2905","HACE1",-0.0919146511341955,-1.705750978057,-0.745453651545412,0.461076383825652,0.96556534279626,57531,"6"
"2906","BPNT2",-0.0707676163337478,1.96526913757753,-0.744665383953025,0.461546695103838,0.96556534279626,54928,"8"
"2907","HSPA5",-0.0731348614809288,6.70856215929329,-0.744335524717039,0.461743585038891,0.96556534279626,3309,"9"
"2908","CHTOP",0.0806082535656643,1.2933383235069,0.744253886023966,0.461792321981185,0.96556534279626,26097,"1"
"2909","SDC4",0.195209394068834,0.0952072363406229,0.744016032560982,0.461934333641714,0.96556534279626,6385,"20"
"2910","ACLY",0.100055566174349,4.84460786624531,0.743907368909265,0.461999220317607,0.96556534279626,47,"17"
"2911","STX12",0.0723496053190678,1.94419697854383,0.743862725325079,0.462025880024335,0.96556534279626,23673,"1"
"2912","MAX",0.0963663299556394,-1.74206997019676,0.743212232730057,0.462414434904212,0.96556534279626,4149,"14"
"2913","ATP5PB",-0.0606750683675719,4.75539692900266,-0.743026589517022,0.462525358971343,0.96556534279626,515,"1"
"2914","PSMG3",0.140002131287594,-0.86968157257542,0.742965932579817,0.462561605584952,0.96556534279626,84262,"7"
"2915","GLIPR2",0.0751852463057352,0.675894908941947,0.74285179665103,0.462629813990883,0.96556534279626,152007,"9"
"2916","HIRIP3",0.0932959993700122,-1.29918123963648,0.742726380440465,0.462704770324536,0.96556534279626,8479,"16"
"2917","MMGT1",0.0769168616123967,0.61579261691013,0.741914328682244,0.463190272828641,0.96556534279626,93380,"X"
"2918","PACSIN3",-0.0974616261217585,-0.158633446601518,-0.741731865447258,0.463299403156463,0.96556534279626,29763,"11"
